rounded_result,operand1,operand2,total_occurrences
-0.6541175,-0.0005649,0.0008635,15
0.8004202,-0.0027843,-0.0022286,14
-0.7821732,-0.0043271,0.0055322,13
0.5553222,0.0022976,0.0041374,13
-0.6366884,-0.0025521,0.0040084,13
-0.9329847,-0.0022423,0.0020920,13
-0.7412636,-0.0012102,0.0016327,13
-0.7064052,-0.0018120,0.0012800,13
-0.9329847,-0.0004232,0.0003948,13
-0.6715468,-0.0059342,0.0039851,12
-0.7821732,-0.0044041,0.0034447,12
-0.6965494,-0.0008004,0.0011491,12
-1.1931673,-0.0009448,0.0011273,12
-0.7586928,-0.0006552,0.0008635,12
-0.7064052,-0.0009189,0.0006491,12
0.5553222,0.0003106,0.0005593,12
-0.8109804,-0.0215700,0.0265974,11
-0.7412636,-0.0346591,0.0256915,11
-0.7412636,-0.0108483,0.0146349,11
-0.7412636,-0.0078360,0.0105712,11
-0.8109804,-0.0070767,0.0057391,11
-0.7412636,-0.0075306,0.0055822,11
-1.1931673,-0.0065484,0.0054883,11
-0.8284096,-0.0057039,0.0047252,11
-0.7412636,-0.0063605,0.0047148,11
-0.7238344,-0.0025068,0.0034633,11
-0.6715468,-0.0049692,0.0033370,11
-0.7412636,-0.0031690,0.0023490,11
-0.9155555,-0.0025329,0.0023190,11
-0.7412636,-0.0028348,0.0021013,11
-0.7412636,-0.0027279,0.0020221,11
0.8179272,0.0015701,0.0019196,11
-0.8109804,-0.0018753,0.0015208,11
-0.7412636,-0.0017886,0.0013258,11
-0.8284096,-0.0015730,0.0013031,11
-0.6715468,-0.0018788,0.0012617,11
-0.6541175,-0.0007589,0.0011602,11
-0.7412636,-0.0008027,0.0010828,11
-0.7064052,-0.0014054,0.0009927,11
-1.1760426,-0.0008069,0.0009489,11
-0.8632680,-0.0007455,0.0008635,11
-0.7412636,-0.0004429,0.0005975,11
-0.8458387,-0.0005483,0.0004638,11
-0.7412636,-0.0002750,0.0003709,11
-0.9155555,-0.0003791,0.0003471,11
-1.1931673,-0.0004093,0.0003431,11
-0.7064052,-0.0003791,0.0002678,11
-0.7412636,-0.0001060,0.0001430,11
-1.1589178,-0.0000081,0.0000070,11
-0.9329847,-0.0248150,0.0265974,10
-1.1760426,-0.0240390,0.0204406,10
-0.7064052,-0.0093754,0.0132720,10
-0.7412636,-0.0097880,0.0132044,10
-0.7064052,-0.0174371,0.0123177,10
-0.7412636,-0.0137505,0.0101927,10
-0.6889759,-0.0060249,0.0087447,10
-0.8109804,-0.0070918,0.0087447,10
-0.8284096,-0.0104819,0.0086833,10
0.6253502,0.0053195,0.0085064,10
-0.7412636,-0.0056717,0.0076514,10
0.5378152,0.0037000,0.0068796,10
-0.8677969,-0.0059579,0.0068656,10
-1.1760426,-0.0080742,0.0068656,10
-0.8458387,-0.0073647,0.0062294,10
-0.8284096,-0.0033206,0.0040084,10
0.8004202,0.0031546,0.0039412,10
0.7128853,0.0028096,0.0039412,10
-0.8284096,-0.0032645,0.0039407,10
-0.7238344,-0.0028524,0.0039407,10
-0.7412636,-0.0026167,0.0035300,10
0.6778712,0.0023209,0.0034238,10
-0.9155555,-0.0031244,0.0034125,10
-0.6889759,-0.0044608,0.0030734,10
-1.1931673,-0.0025713,0.0030680,10
-0.7238344,-0.0039600,0.0028664,10
-0.6889759,-0.0018955,0.0027512,10
